u,v,w
0,1,0.021113
0,25,0.121648
1,2,0.269255
1,26,0.357761
1,0,0.021113
2,3,0.183296
2,27,0.414445
2,1,0.269255
3,4,0.166051
3,28,0.399556
3,2,0.183296
4,5,0.226140
4,29,0.272148
4,3,0.166051
5,6,0.063140
5,30,0.063921
5,4,0.226140
6,7,0.131663
6,31,0.053510
6,5,0.063140
7,8,0.218354
7,32,0.089407
7,6,0.131663
8,9,0.332174
8,33,0.137489
8,7,0.218354
9,10,0.244387
9,34,0.076589
9,8,0.332174
10,11,0.008736
10,35,0.042992
10,9,0.244387
11,12,0.013665
11,36,0.083372
11,10,0.008736
12,13,0.095156
12,37,0.031313
12,11,0.013665
13,14,0.313567
13,38,0.091718
13,12,0.095156
14,15,0.295107
14,39,0.104529
14,13,0.313567
15,16,0.054237
15,40,0.019157
15,14,0.295107
16,17,0.035635
16,41,0.019316
16,15,0.054237
17,18,0.047800
17,42,0.031558
17,16,0.035635
18,19,0.037998
18,43,0.014950
18,17,0.047800
19,20,0.009021
19,44,0.024181
19,18,0.037998
20,21,0.148190
20,45,0.168118
20,19,0.009021
21,22,0.015597
21,46,0.203483
21,20,0.148190
22,23,0.185760
22,47,0.081685
22,21,0.015597
23,24,0.050794
23,48,0.007679
23,22,0.185760
24,49,0.022377
24,23,0.050794
25,26,0.256899
25,50,0.549192
25,0,0.121648
26,27,0.326184
26,51,0.389663
26,25,0.256899
26,1,0.357761
27,28,0.168369
27,52,0.052397
27,26,0.326184
27,2,0.414445
28,29,0.038751
28,53,0.259952
28,27,0.168369
28,3,0.399556
29,30,0.018274
29,54,0.106971
29,28,0.038751
29,4,0.272148
30,31,0.053598
30,55,0.119128
30,29,0.018274
30,5,0.063921
31,32,0.167693
31,56,0.246751
31,30,0.053598
31,6,0.053510
32,33,0.245439
32,57,0.356596
32,31,0.167693
32,7,0.089407
33,34,0.276559
33,58,0.405070
33,32,0.245439
33,8,0.137489
34,35,0.153770
34,59,0.197789
34,33,0.276559
34,9,0.076589
35,36,0.065506
35,60,0.252759
35,34,0.153770
35,10,0.042992
36,37,0.075046
36,61,0.186711
36,35,0.065506
36,11,0.083372
37,38,0.012650
37,62,0.068420
37,36,0.075046
37,12,0.031313
38,39,0.301190
38,63,0.286647
38,37,0.012650
38,13,0.091718
39,40,0.405644
39,64,0.651772
39,38,0.301190
39,14,0.104529
40,41,0.065319
40,65,0.550008
40,39,0.405644
40,15,0.019157
41,42,0.018091
41,66,0.130867
41,40,0.065319
41,16,0.019316
42,43,0.065426
42,67,0.075704
42,41,0.018091
42,17,0.031558
43,44,0.031242
43,68,0.096620
43,42,0.065426
43,18,0.014950
44,45,0.152676
44,69,0.087818
44,43,0.031242
44,19,0.024181
45,46,0.183478
45,70,0.148284
45,44,0.152676
45,20,0.168118
46,47,0.107893
46,71,0.068945
46,45,0.183478
46,21,0.203483
47,48,0.259608
47,72,0.160154
47,46,0.107893
47,22,0.081685
48,49,0.065881
48,73,0.089095
48,47,0.259608
48,23,0.007679
49,74,0.027140
49,48,0.065881
49,24,0.022377
50,51,0.098143
50,75,0.232450
50,25,0.549192
51,52,0.097062
51,76,0.018999
51,50,0.098143
51,26,0.389663
52,53,0.054632
52,77,0.208890
52,51,0.097062
